TICKER,YEAR,HEADER_CNT,HEADER_WORD_CNT,PARA_WORD_CNT,NEG_CNT,POS_CNT,CONSTR_CNT,LITI_CNT,UNCERT_CNT,MODAL_STR_CNT,MODAL_MOD_CNT,MODAL_WEA_CNT,TOT_CNT
adbe,2015,27,214,240,76,12,6,16,78,0,2,58,740
fivn,2015,60,427,486,152,34,38,24,170,16,4,134,1953
dlb,2015,28,145,172,12,2,2,8,22,0,0,8,327
cohr,2015,37,386,422,120,20,16,30,142,6,2,92,1574
oclr,2015,53,398,450,128,26,40,26,166,6,12,140,1834
impv,2015,84,360,443,260,60,20,32,220,12,12,176,2693
qcom,2015,22,237,258,60,8,10,18,66,0,0,54,857
jnpr,2017,43,409,451,164,24,26,24,148,10,6,108,1856
trmb,2017,24,229,252,90,10,14,16,76,0,0,58,759
pypl,2017,49,389,437,110,18,8,32,132,0,10,88,1486
rmbs,2017,42,328,369,128,14,10,34,110,0,12,96,1399
appf,2017,58,411,468,166,34,48,38,176,10,4,146,2133
clgx,2017,23,263,285,64,14,30,10,76,2,4,66,1024
pstg,2017,56,452,507,150,30,24,28,144,20,2,114,1957
vsat,2017,37,267,303,68,16,20,28,84,0,2,70,862
mlnx,2017,57,422,478,122,24,50,22,184,12,10,142,1966
ntap,2017,1,25,25,4,0,0,0,2,0,0,2,36
klac,2017,37,330,366,120,14,12,14,94,4,2,50,1162
aapl,2017,28,226,253,32,4,20,10,58,4,0,38,727
ntnx,2017,62,503,564,186,34,48,36,212,16,4,162,2471
xlnx,2017,35,263,297,102,14,16,8,76,2,4,60,992
znga,2017,16,127,142,18,2,0,4,20,0,2,18,285
panw,2017,62,450,511,146,34,18,8,182,14,2,126,2031
fit,2017,58,484,541,168,24,48,62,146,4,6,112,2289
snps,2017,27,240,266,70,12,12,8,66,4,2,60,798
lrcx,2017,25,213,237,54,10,22,6,54,2,0,36,604
efii,2017,40,302,341,72,10,12,18,92,2,4,64,1097
orcl,2017,58,234,291,112,28,8,32,148,4,0,120,1599
gwre,2017,40,406,445,140,28,32,16,136,4,6,106,1733
fb,2017,47,371,417,120,24,18,28,140,16,4,100,1620
lite,2017,40,346,385,96,14,32,42,116,4,6,88,1333
intc,2017,35,181,215,42,6,0,16,68,2,0,36,596
cdns,2017,45,354,398,102,20,36,12,130,4,2,96,1508
powi,2017,26,250,275,60,12,6,14,54,12,2,38,717
nvda,2017,24,239,262,60,16,6,6,78,4,2,56,783
csco,2017,36,272,307,134,12,8,8,96,4,4,82,1041
ttd,2017,107,446,552,310,86,56,44,286,20,20,220,4010
ftnt,2017,56,452,507,160,22,24,10,158,16,6,112,2011
smtc,2017,56,439,494,134,16,54,36,168,6,2,118,1959
newr,2017,48,400,447,128,30,28,12,136,10,10,108,1685
plt,2017,32,352,383,136,14,18,30,108,8,6,90,1335
amd,2017,45,363,407,112,20,30,14,104,2,2,76,1376
coup,2017,14,137,150,28,12,2,10,22,2,2,18,335
ttmi,2017,112,451,562,276,48,68,56,330,4,24,240,4201
adsk,2017,39,333,371,142,22,8,18,102,8,4,80,1466
nano,2017,3,40,42,6,2,0,0,8,6,2,0,64
idti,2017,40,300,339,82,6,16,12,94,2,2,60,1007
feye,2017,69,478,546,188,38,20,10,212,18,10,148,2398
ntgr,2017,42,371,412,132,14,28,20,114,12,6,86,1517
rng,2017,14,147,160,22,2,2,6,26,2,2,20,335
snx,2017,43,334,376,122,22,18,4,152,6,2,118,1552
pay,2017,63,413,475,206,18,32,30,178,12,4,128,2042
mxl,2017,53,460,512,140,18,30,20,154,8,6,114,2192
cy,2017,34,309,342,118,6,8,12,94,14,6,76,1171
syna,2017,9,82,90,8,10,8,4,10,4,0,10,158
box,2017,10,107,116,28,0,2,8,14,2,2,14,221
symc,2017,39,325,363,130,20,28,16,112,0,0,92,1368
sanm,2017,29,266,294,80,6,24,24,84,0,4,72,1018
v,2017,34,231,264,54,8,8,24,62,0,2,44,747
wday,2017,53,389,441,164,20,14,22,156,10,4,120,1616
amat,2017,21,122,142,46,2,4,4,38,0,0,10,424
quot,2017,13,132,144,28,8,6,2,16,4,0,16,306
twtr,2017,30,186,215,42,12,6,0,52,0,0,40,567
crm,2017,42,354,395,112,16,22,20,126,4,4,94,1397
yelp,2017,105,354,458,212,32,52,28,194,36,16,156,2768
vmw,2017,56,320,375,76,24,14,8,106,2,2,90,1175
atvi,2017,73,325,397,170,24,18,48,194,4,4,126,2152
splk,2017,51,366,416,138,26,32,20,156,4,2,128,1754
qlys,2017,57,413,469,180,34,20,10,184,4,14,148,2008
viav,2017,25,199,223,40,4,0,6,52,0,4,38,588
pfpt,2017,47,352,398,132,22,16,14,120,14,4,92,1480
elli,2017,36,342,377,120,22,18,24,118,10,4,88,1461
bl,2017,23,218,240,34,6,10,14,42,0,2,30,574
csod,2017,63,477,539,160,30,34,28,170,12,4,132,2172
mb,2017,60,450,509,144,28,50,30,150,8,6,128,2197
fico,2017,31,266,296,80,14,8,16,90,8,2,74,1046
zen,2017,63,443,505,160,50,28,18,168,6,12,126,2162
fnsr,2017,33,286,318,80,10,12,14,74,6,12,60,962
ea,2017,33,206,238,56,8,4,8,70,0,2,58,690
keys,2017,42,322,363,124,10,10,30,128,12,0,104,1301
hdp,2017,111,444,554,254,96,84,32,280,32,12,238,3810
anet,2017,76,502,577,210,36,38,26,210,20,2,152,2739
hpe,2017,42,339,380,106,18,28,34,114,6,6,86,1529
googl,2017,35,289,323,94,12,10,14,110,4,6,86,1086
sq,2017,43,376,418,118,38,18,20,120,12,8,90,1558
amba,2017,25,216,240,32,10,6,10,46,0,6,36,640
adbe,2017,29,226,254,66,16,6,14,80,0,2,60,774
fivn,2017,65,463,527,168,36,38,38,168,18,6,134,2112
dlb,2017,31,159,189,16,2,2,10,22,0,0,8,376
cohr,2017,41,404,444,126,28,16,30,148,8,4,96,1708
oclr,2017,51,400,450,130,24,36,26,164,6,10,138,1754
impv,2017,7,74,80,16,0,0,0,14,0,2,8,152
qcom,2017,30,301,330,76,10,12,16,88,0,0,64,1239
jnpr,2018,43,406,448,164,24,26,24,148,10,6,110,1860
pypl,2018,48,365,412,104,12,8,34,126,0,8,78,1361
stmp,2018,108,380,487,140,14,16,16,166,14,20,120,1781
appf,2018,58,404,461,168,34,48,40,172,10,4,146,2097
pstg,2018,56,456,511,150,30,24,28,146,20,2,116,1983
mlnx,2018,59,427,485,122,24,52,24,190,12,10,144,2030
znga,2018,13,102,114,16,2,0,0,14,2,2,8,226
fit,2018,58,480,537,170,26,50,60,150,4,6,112,2263
infn,2018,38,345,382,100,16,16,10,120,8,8,82,1257
fb,2018,49,383,431,114,26,22,28,150,14,2,108,1668
nvda,2018,20,218,237,52,12,4,8,82,0,0,56,689
ftnt,2018,57,459,515,170,22,24,14,166,16,6,118,2056
snap,2018,11,115,125,22,0,4,10,18,0,0,18,236
coup,2018,16,138,153,24,6,8,4,22,2,2,18,329
ttmi,2018,118,473,590,296,52,80,64,368,8,24,268,4515
feye,2018,70,478,547,188,36,20,8,212,20,10,146,2447
ntgr,2018,44,387,430,146,14,28,20,128,14,6,94,1631
rng,2018,10,127,136,14,2,2,8,18,0,2,16,267
snx,2018,44,341,384,126,26,18,4,158,6,2,122,1593
mxl,2018,58,505,562,156,26,36,22,168,6,8,126,2493
box,2018,29,185,213,38,10,10,14,38,6,0,30,518
jcom,2018,59,451,509,120,22,38,22,184,14,4,132,1998
fsct,2018,63,472,534,172,46,28,22,180,8,10,128,2318
wday,2018,53,387,439,164,20,14,22,156,10,4,120,1612
quot,2018,4,58,61,18,0,2,0,6,2,0,6,97
now,2018,36,318,353,98,8,2,12,100,8,8,72,1253
twtr,2018,22,168,189,30,8,4,6,38,2,2,32,461
crm,2018,43,376,418,118,18,22,22,134,0,4,102,1512
yelp,2018,52,394,445,110,22,30,24,114,24,8,86,1553
vmw,2018,59,351,409,80,24,16,8,114,2,2,98,1332
splk,2018,50,377,426,146,26,36,20,156,4,2,128,1769
qlys,2018,59,448,506,180,40,22,16,194,14,14,154,2202
pfpt,2018,46,350,395,130,22,14,10,118,14,4,92,1459
elli,2018,39,362,400,140,24,20,30,134,10,4,104,1614
csod,2018,67,494,560,172,32,38,32,170,20,4,136,2288
mb,2018,54,421,474,128,22,34,22,142,4,4,118,1953
zen,2018,63,444,506,160,52,28,18,170,6,12,126,2184
hdp,2018,115,444,558,258,96,84,36,284,28,8,242,3770
anet,2018,77,506,582,212,38,38,28,212,20,2,154,2756
sq,2018,48,411,458,136,36,22,18,134,12,8,104,1783
amba,2018,24,198,221,34,10,4,14,44,0,6,36,539
fivn,2018,64,467,530,174,34,40,38,170,20,6,136,2165
impv,2018,11,102,112,24,2,0,0,16,0,0,10,208
