Company Name,Exchange,Ticker,Headquarter,Primary Industry, LFY Market Cap ($USD mn) ,Filing date - LFY,Filing date - LFY-1,Filing date - LFY-2
"Okta, Inc. (NasdaqGS:OKTA)",NasdaqGS,OKTA,California,Internet Software and Services," 5,888 ",12-Mar-18,20-Mar-17,NA
Cypress Semiconductor Corporation (NasdaqGS:CY),NasdaqGS,CY,California,Semiconductors," 5,792 ",26-Feb-18,1-Mar-17,2-Mar-16
"New Relic, Inc. (NYSE:NEWR)",NYSE,NEWR,California,Internet Software and Services," 5,679 ",11-May-18,18-May-17,26-May-16
"The Trade Desk, Inc. (NasdaqGM:TTD)",NasdaqGM,TTD,California,Internet Software and Services," 5,391 ",28-Feb-18,16-Feb-17,NA
"Pure Storage, Inc. (NYSE:PSTG)",NYSE,PSTG,California,"Technology Hardware, Storage and Peripherals"," 5,103 ",26-Mar-18,29-Mar-17,25-Mar-16
"Integrated Device Technology, Inc. (NasdaqGS:IDTI)",NasdaqGS,IDTI,California,Semiconductors," 4,650 ",18-May-18,19-May-17,20-May-16
"Coherent, Inc. (NasdaqGS:COHR)",NasdaqGS,COHR,California,Electronic Equipment and Instruments," 4,403 ",28-Nov-17,29-Nov-16,1-Dec-15
"Zscaler, Inc. (NasdaqGS:ZS)",NasdaqGS,ZS,California,Systems Software," 4,819 ",16-Feb-18,NA,NA
"Mellanox Technologies, Ltd. (NasdaqGS:MLNX)",NasdaqGS,MLNX,California,Semiconductors," 4,227 ",16-Feb-18,17-Feb-17,26-Feb-16
Stamps.com Inc. (NasdaqGS:STMP),NasdaqGS,STMP,California,Internet Software and Services," 4,206 ",28-Feb-18,1-Mar-17,29-Feb-16
"j2 Global, Inc. (NasdaqGS:JCOM)",NasdaqGS,JCOM,California,Internet Software and Services," 3,932 ",1-Mar-18,1-Mar-17,29-Feb-16
"CoreLogic, Inc. (NYSE:CLGX)",NYSE,CLGX,California,Data Processing and Outsourced Services," 4,033 ",27-Feb-18,24-Feb-17,26-Feb-16
Yelp Inc. (NYSE:YELP),NYSE,YELP,California,Internet Software and Services," 3,792 ",28-Feb-18,1-Mar-17,24-Feb-16
Coupa Software Incorporated (NasdaqGS:COUP),NasdaqGS,COUP,California,Internet Software and Services," 3,829 ",28-Mar-18,3-Apr-17,NA
"Viasat, Inc. (NasdaqGS:VSAT)",NasdaqGS,VSAT,California,Communications Equipment," 3,804 ",30-May-18,25-May-17,26-May-16
SYNNEX Corporation (NYSE:SNX),NYSE,SNX,California,Technology Distributors," 3,862 ",29-Jan-18,26-Jan-17,28-Jan-16
Lumentum Holdings Inc. (NasdaqGS:LITE),NasdaqGS,LITE,California,Communications Equipment," 3,764 ",28-Aug-18,29-Aug-17,2-Sep-16
"Ellie Mae, Inc. (NYSE:ELLI)",NYSE,ELLI,California,Application Software," 3,556 ",1-Mar-18,22-Feb-17,25-Feb-16
"Box, Inc. (NYSE:BOX)",NYSE,BOX,California,Internet Software and Services," 3,450 ",22-Mar-18,24-Mar-17,30-Mar-16
"Qualys, Inc. (NasdaqGS:QLYS)",NasdaqGS,QLYS,California,Systems Software," 3,344 ",23-Feb-18,24-Feb-17,26-Feb-16
"Alteryx, Inc. (NYSE:AYX)",NYSE,AYX,California,Internet Software and Services," 3,326 ",8-Mar-18,24-Feb-17,NA
"Zuora, Inc. (NYSE:ZUO)",NYSE,ZUO,California,Systems Software," 3,133 ",16-Mar-18,NA,NA
Semtech Corporation (NasdaqGS:SMTC),NasdaqGS,SMTC,California,Semiconductors," 3,213 ",22-Mar-18,23-Mar-17,31-Mar-16
Zynga Inc. (NasdaqGS:ZNGA),NasdaqGS,ZNGA,California,Home Entertainment Software," 3,200 ",20-Feb-18,17-Feb-17,19-Feb-16
